CountryTerritoryArea,BCIs per million population,Absolute BCIs,BCIs with AST per million population,Absolute BCIs with AST,% BCIs with AST,Year,Infectious Syndrome,Bacterial Pathogen,Antibiotic Group,code,region,income,che_gdp,gghed_gdp,gghed_gge
Morocco,0.1,4,0.1,4,100.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,MAR,EMR,Lower-middle,5.83834505,2.46564341,7.2206831
Myanmar,4.8,257,4.2,224,87.2,2020,Urinary tract,Klebsiella pneumoniae,3GCs,MMR,SEAR,Lower-middle,4.62,0.7,3.23
Nepal,28.1,814,21.9,633,77.8,2020,Urinary tract,Klebsiella pneumoniae,3GCs,NPL,SEAR,Lower-middle,5.21,1.57,5.67
Norway,129.9,699,129.9,699,100.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,NOR,EUR,High,11.42,9.82,17.05
Oman,166.7,754,120.5,545,72.3,2020,Urinary tract,Klebsiella pneumoniae,3GCs,OMN,EMR,High,5.253320220000002,4.681920529999999,10.24410915
Pakistan,19.4,4553,3.5,813,17.9,2020,Urinary tract,Klebsiella pneumoniae,3GCs,PAK,EMR,Lower-middle,2.9527301800000005,1.0395474400000002,5.121827599999999
Peru,17.4,570,15.5,510,89.5,2020,Urinary tract,Klebsiella pneumoniae,3GCs,PER,AMR,Upper-middle,6.2852115600000005,4.32614946,16.10490227
Philippines,13.5,1511,13.1,1473,97.5,2020,Urinary tract,Klebsiella pneumoniae,3GCs,PHL,WPR,Lower-middle,5.16,2.33,9.0
Qatar,696.7,1953,696.7,1953,100.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,QAT,EMR,High,3.8187220100000006,3.30993986,9.538887980000002
Republic of Korea,24.6,1274,24.6,1274,100.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,KOR,WPR,High,8.3497715,4.995855810000001,13.101437570000002
Saudi Arabia,47.4,1468,47.4,1468,100.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,SAU,EMR,High,6.64629889,5.2034235,13.31901741
Singapore,195.9,1101,195.5,1099,99.8,2020,Urinary tract,Klebsiella pneumoniae,3GCs,SGP,WPR,High,5.71281767,3.42298889,13.85786724
Sri Lanka,28.0,632,27.8,627,99.2,2020,Urinary tract,Klebsiella pneumoniae,3GCs,LKA,SEAR,Lower-middle,4.02,1.97,9.49
Sudan,1.6,77,1.6,73,94.8,2020,Urinary tract,Klebsiella pneumoniae,3GCs,SDN,EMR,Low,3.01518917,1.03047943,9.58832169
Sweden,4078.7,42230,980.7,10154,24.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,SWE,EUR,High,11.33,9.77,18.76
Switzerland,2374.0,20513,2124.9,18360,89.5,2020,Urinary tract,Klebsiella pneumoniae,3GCs,CHE,EUR,High,11.73206806,4.212947849999999,10.95618057
Syrian Arab Republic,0.5,10,0.4,9,90.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,SYR,EMR,Low,,,
Thailand,39.2,2806,35.9,2571,91.6,2020,Urinary tract,Klebsiella pneumoniae,3GCs,THA,SEAR,Upper-middle,4.35728741,3.0659668399999997,11.933213230000002
Timor-Leste,8.3,11,8.3,11,100.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,TLS,SEAR,Lower-middle,9.96385956,5.5078587500000005,6.59020758
Tunisia,81.4,975,58.4,699,71.7,2020,Urinary tract,Klebsiella pneumoniae,3GCs,TUN,EMR,Lower-middle,7.050249580000001,4.31009293,12.49465275
Uganda,2.0,90,2.0,89,98.9,2020,Urinary tract,Klebsiella pneumoniae,3GCs,UGA,AFR,Low,4.30198574,0.94001567,4.395185470000001
United Arab Emirates,732.1,6917,648.6,6128,88.6,2020,Urinary tract,Klebsiella pneumoniae,3GCs,ARE,EMR,High,5.824770450000001,3.5522999799999995,11.41091824
United Kingdom of Great Britain and Northern Ireland,683.3,46020,389.6,26240,57.0,2020,Urinary tract,Klebsiella pneumoniae,3GCs,GBR,EUR,High,12.158634190000003,10.17722607,19.423175809999996
United Republic of Tanzania,1.5,92,1.4,87,94.6,2020,Urinary tract,Klebsiella pneumoniae,3GCs,TZA,AFR,Lower-middle,2.93978429,0.82863826,4.940001490000001
Zambia,6.8,130,1.4,27,20.8,2020,Urinary tract,Klebsiella pneumoniae,3GCs,ZMB,AFR,Low,6.31619787,3.59903836,10.560054779999998
"occupied Palestinian territory, including east Jerusalem",178.7,906,177.3,899,99.2,2020,Urinary tract,Klebsiella pneumoniae,3GCs,,,,,,
Argentina,18.4,836,18.4,833,99.6,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,ARG,AMR,Upper-middle,9.708806990000001,6.1366396,16.220844269999997
Australia,3.2,82,2.8,73,89.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,AUS,WPR,High,10.543639180000003,8.01731968,19.3241291
Bahrain,11.3,17,11.3,17,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,BHR,EMR,High,4.268340589999999,2.813930750000001,8.685101509999999
Bangladesh,0.2,41,0.2,41,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,BGD,SEAR,Lower-middle,2.36492991,0.39927667,3.07911539
Belgium,5.1,59,5.1,59,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,BEL,EUR,High,11.04290771,8.56881809,15.46376991
Bosnia and Herzegovina,0.9,3,0.9,3,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,BIH,EUR,Upper-middle,9.56,6.53,16.42
Brazil,0.0,3,0.0,1,33.3,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,BRA,AMR,Upper-middle,9.89072323,4.504478929999999,10.94026566
Brunei Darussalam,73.1,33,57.6,26,78.8,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,BRN,WPR,High,2.20486665,2.05610466,7.05689287
Burkina Faso,0.7,16,0.5,12,75.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,BFA,AFR,Low,6.376911640000001,2.7304272700000003,9.83841515
Cameroon,0.3,7,0.2,5,71.4,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,CMR,AFR,Lower-middle,3.82407379,0.48458477999999994,2.86053681
Colombia,11.3,577,10.7,549,95.1,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,COL,AMR,Upper-middle,9.017724040000001,6.54606009,19.00617027
Cyprus,3.8,5,3.8,5,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,CYP,EUR,High,9.43,7.99,18.37
Estonia,8.3,11,8.3,11,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,EST,EUR,High,7.490572929999999,5.7050290100000005,13.756586069999997
Ethiopia,0.0,4,0.0,1,25.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,ETH,AFR,Low,3.20824432,0.97918016,7.096745009999998
France,0.9,64,0.9,64,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,FRA,EUR,High,12.30787277,9.30704117,15.762247089999999
Germany,2.6,221,2.6,216,97.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,DEU,EUR,High,12.934129709999999,10.22433567,19.948818210000002
Ghana,0.6,20,0.5,16,80.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,GHA,AFR,Lower-middle,4.151768679999999,2.2442500599999997,8.201509479999999
Greece,2.4,25,2.4,25,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,GRC,EUR,High,9.17298794,5.431468959999999,9.413043980000001
India,1.1,1523,1.0,1401,92.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,IND,SEAR,Lower-middle,3.28,1.12,3.69
Indonesia,0.4,101,0.3,72,71.3,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,IDN,SEAR,Lower-middle,3.706362489999999,2.2020194500000003,12.11291027
Iran (Islamic Republic of),0.1,9,0.1,6,66.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,IRN,EMR,Lower-middle,5.77013779,3.18725681,26.105491640000004
Iraq,8.8,377,6.7,288,76.4,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,IRQ,EMR,Upper-middle,5.247275830000001,2.5890970200000005,6.98586559
Italy,0.7,40,0.7,40,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,ITA,EUR,High,9.38,7.08,12.36
Japan,4.1,513,4.0,500,97.5,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,JPN,WPR,High,10.82,9.17,21.45
Jordan,1.5,17,0.3,3,17.6,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,JOR,EMR,Upper-middle,7.28875065,2.5933196499999998,7.90704393
Kenya,0.1,7,0.1,7,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,KEN,AFR,Lower-middle,4.54763126,2.21621132,9.28804493
Kosovo,0.6,1,0.6,1,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,,,,,,
Kuwait,2.5,11,2.5,11,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,KWT,EMR,High,5.78120756,5.18634224,9.917476650000001
Lao People's Democratic Republic,2.7,20,0.9,7,35.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,LAO,WPR,Lower-middle,2.7439200899999996,0.7192458499999999,4.4057536100000005
Lebanon,1.4,8,1.2,7,87.5,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,LBN,EMR,Lower-middle,10.06154442,2.90336895,16.701183320000002
Liberia,2.1,11,1.9,10,90.9,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,LBR,AFR,Low,16.6163311,1.08574104,3.65630078
Luxembourg,1.6,1,1.6,1,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,LUX,EUR,High,5.67,4.93,11.48
Malawi,0.7,14,0.5,10,71.4,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,MWI,AFR,Low,7.411944869999999,1.36272597,5.756381029999998
Malaysia,25.6,876,22.7,777,88.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,MYS,WPR,Upper-middle,4.38380671,2.46428084,10.10703659
Mali,3.4,76,3.1,70,92.1,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,MLI,AFR,Low,4.473414419999999,1.3121112599999998,4.96152639
Malta,19.1,10,19.1,10,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,MLT,EUR,High,10.58,7.13,16.23
Mauritius,6.3,8,6.3,8,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,MUS,AFR,Upper-middle,6.3925890899999995,3.14497805,10.2022686
Morocco,0.1,5,0.1,5,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,MAR,EMR,Lower-middle,5.7383494399999995,2.2295758699999997,7.18068504
Nepal,3.7,109,3.4,101,92.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,NPL,SEAR,Lower-middle,5.42,1.8,6.49
Netherlands (Kingdom of the),2.1,38,2.1,38,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,NLD,EUR,High,11.29,7.88,16.86
Norway,10.4,56,10.4,56,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,NOR,EUR,High,10.08,8.66,17.92
Oman,11.1,50,9.3,42,84.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,OMN,EMR,High,4.37028217,3.81048203,10.53943253
Pakistan,9.8,2350,9.4,2253,95.9,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,PAK,EMR,Lower-middle,2.9113156800000004,0.84496921,4.57438993
Peru,0.6,21,0.5,18,85.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,PER,AMR,Upper-middle,6.151731970000001,3.9896729,16.942422869999998
Philippines,1.2,132,1.1,128,97.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,PHL,WPR,Lower-middle,5.87,2.31,8.46
Poland,0.1,2,0.1,2,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,POL,EUR,High,6.44,4.64,10.53
Qatar,16.3,46,16.3,46,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,QAT,EMR,High,2.89366841,2.46038246,8.389737129999997
Republic of Korea,0.9,45,0.9,45,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,KOR,WPR,High,9.331455230000001,5.692255020000001,14.82539463
Russian Federation,0.1,10,0.0,7,70.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,RUS,EUR,Upper-middle,7.39,5.26,15.12
Saudi Arabia,0.6,18,0.6,18,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,SAU,EMR,High,5.968369009999999,4.594673160000001,14.40493202
Singapore,8.3,46,8.1,45,97.8,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,SGP,WPR,High,5.565251829999999,3.50580597,20.812007899999998
South Africa,15.5,955,15.0,922,96.5,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,ZAF,AFR,Upper-middle,8.27309132,4.99565506,15.28983974
Sri Lanka,0.5,12,0.4,9,75.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,LKA,SEAR,Lower-middle,4.07,1.89,9.49
Switzerland,10.3,90,10.1,88,97.8,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,CHE,EUR,High,11.801079750000001,4.27358341,11.719085690000002
Thailand,3.3,236,2.9,205,86.9,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,THA,SEAR,Upper-middle,5.1603875200000004,3.6309559300000003,13.46591473
Timor-Leste,2.2,3,1.5,2,66.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,TLS,SEAR,Lower-middle,11.43839264,7.256893159999997,6.970731259999999
Tunisia,1.2,15,0.8,10,66.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,TUN,EMR,Lower-middle,6.972739220000001,4.12733793,12.39702702
T<U+00FC>rkiye,0.8,73,0.8,73,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,,,,,,
Uganda,0.1,3,0.0,2,66.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,UGA,AFR,Low,4.671967029999999,1.05270064,4.88157225
Ukraine,0.0,1,0.0,1,100.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,UKR,EUR,Lower-middle,8.01,4.09,10.15
United Arab Emirates,18.1,177,17.0,166,93.8,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,ARE,EMR,High,5.30695152,3.402116779999999,12.8867445
United Republic of Tanzania,0.2,15,0.2,13,86.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,TZA,AFR,Lower-middle,3.3613648400000002,0.9136287599999999,5.135169979999999
Zambia,1.2,24,1.1,22,91.7,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,ZMB,AFR,Low,6.624164579999999,2.8165416700000003,9.254849429999998
"occupied Palestinian territory, including east Jerusalem",1.0,5,0.8,4,80.0,2021,Bloodstream,Salmonella spp.,Fluoroquinolones,,,,,,
Afghanistan,0.7,27,0.4,18,66.7,2021,Urinary tract,Escherichia coli,3GCs,AFG,EMR,Low,21.82794952,0.72091633,4.0514898299999995
Argentina,719.8,32617,503.4,22812,69.9,2021,Urinary tract,Escherichia coli,3GCs,ARG,AMR,Upper-middle,9.708806990000001,6.1366396,16.220844269999997
Australia,4412.2,114526,3632.0,94273,82.3,2021,Urinary tract,Escherichia coli,3GCs,AUS,WPR,High,10.543639180000003,8.01731968,19.3241291
Bahrain,1975.7,2967,1973.7,2964,99.9,2021,Urinary tract,Escherichia coli,3GCs,BHR,EMR,High,4.268340589999999,2.813930750000001,8.685101509999999
Bangladesh,1.2,209,1.2,196,93.8,2021,Urinary tract,Escherichia coli,3GCs,BGD,SEAR,Lower-middle,2.36492991,0.39927667,3.07911539
Brazil,10.0,2090,9.8,2052,98.2,2021,Urinary tract,Escherichia coli,3GCs,BRA,AMR,Upper-middle,9.89072323,4.504478929999999,10.94026566
Burkina Faso,34.5,759,23.0,505,66.5,2021,Urinary tract,Escherichia coli,3GCs,BFA,AFR,Low,6.376911640000001,2.7304272700000003,9.83841515
Cameroon,14.3,384,12.1,326,84.9,2021,Urinary tract,Escherichia coli,3GCs,CMR,AFR,Lower-middle,3.82407379,0.48458477999999994,2.86053681
Colombia,2469.0,126386,2447.3,125271,99.1,2021,Urinary tract,Escherichia coli,3GCs,COL,AMR,Upper-middle,9.017724040000001,6.54606009,19.00617027
Egypt,0.6,70,0.5,61,87.1,2021,Urinary tract,Escherichia coli,3GCs,EGY,EMR,Lower-middle,4.60955143,1.7367969799999998,6.799449439999999
Ethiopia,4.7,573,3.1,380,66.3,2021,Urinary tract,Escherichia coli,3GCs,ETH,AFR,Low,3.20824432,0.97918016,7.096745009999998
Finland,22203.3,123030,7360.7,40786,33.2,2021,Urinary tract,Escherichia coli,3GCs,FIN,EUR,High,10.25,8.41,15.07
Germany,6148.4,514603,5493.4,459782,89.3,2021,Urinary tract,Escherichia coli,3GCs,DEU,EUR,High,12.934129709999999,10.22433567,19.948818210000002
India,35.5,50205,25.1,35486,70.7,2021,Urinary tract,Escherichia coli,3GCs,IND,SEAR,Lower-middle,3.28,1.12,3.69
Indonesia,9.0,2483,5.8,1594,64.2,2021,Urinary tract,Escherichia coli,3GCs,IDN,SEAR,Lower-middle,3.706362489999999,2.2020194500000003,12.11291027
Iran (Islamic Republic of),38.0,3361,34.1,3016,89.7,2021,Urinary tract,Escherichia coli,3GCs,IRN,EMR,Lower-middle,5.77013779,3.18725681,26.105491640000004
Iraq,75.5,3254,54.5,2349,72.2,2021,Urinary tract,Escherichia coli,3GCs,IRQ,EMR,Upper-middle,5.247275830000001,2.5890970200000005,6.98586559
Japan,3277.3,411891,3175.8,399131,96.9,2021,Urinary tract,Escherichia coli,3GCs,JPN,WPR,High,10.82,9.17,21.45
Jordan,996.2,11024,314.7,3483,31.6,2021,Urinary tract,Escherichia coli,3GCs,JOR,EMR,Upper-middle,7.28875065,2.5933196499999998,7.90704393
Kenya,3.3,174,2.9,153,87.9,2021,Urinary tract,Escherichia coli,3GCs,KEN,AFR,Lower-middle,4.54763126,2.21621132,9.28804493
Kuwait,549.2,2395,535.5,2335,97.5,2021,Urinary tract,Escherichia coli,3GCs,KWT,EMR,High,5.78120756,5.18634224,9.917476650000001
Lao People's Democratic Republic,26.0,194,26.0,194,100.0,2021,Urinary tract,Escherichia coli,3GCs,LAO,WPR,Lower-middle,2.7439200899999996,0.7192458499999999,4.4057536100000005
Latvia,579.7,1093,326.7,616,56.4,2021,Urinary tract,Escherichia coli,3GCs,LVA,EUR,High,9.04,6.27,14.19
Lebanon,460.8,2635,380.7,2177,82.6,2021,Urinary tract,Escherichia coli,3GCs,LBN,EMR,Lower-middle,10.06154442,2.90336895,16.701183320000002
Liberia,4.9,26,1.7,9,34.6,2021,Urinary tract,Escherichia coli,3GCs,LBR,AFR,Low,16.6163311,1.08574104,3.65630078
Malawi,7.2,145,6.3,126,86.9,2021,Urinary tract,Escherichia coli,3GCs,MWI,AFR,Low,7.411944869999999,1.36272597,5.756381029999998
Malaysia,343.8,11788,331.1,11351,96.3,2021,Urinary tract,Escherichia coli,3GCs,MYS,WPR,Upper-middle,4.38380671,2.46428084,10.10703659
Mali,9.1,204,7.4,166,81.4,2021,Urinary tract,Escherichia coli,3GCs,MLI,AFR,Low,4.473414419999999,1.3121112599999998,4.96152639
Mauritius,1851.3,2369,1849.0,2366,99.9,2021,Urinary tract,Escherichia coli,3GCs,MUS,AFR,Upper-middle,6.3925890899999995,3.14497805,10.2022686
Morocco,30.0,1108,30.0,1108,100.0,2021,Urinary tract,Escherichia coli,3GCs,MAR,EMR,Lower-middle,5.7383494399999995,2.2295758699999997,7.18068504
Myanmar,2.4,127,2.3,123,96.9,2021,Urinary tract,Escherichia coli,3GCs,MMR,SEAR,Lower-middle,5.63,1.06,4.39
Nepal,226.3,6671,182.7,5385,80.7,2021,Urinary tract,Escherichia coli,3GCs,NPL,SEAR,Lower-middle,5.42,1.8,6.49
Norway,246.9,1335,246.9,1335,100.0,2021,Urinary tract,Escherichia coli,3GCs,NOR,EUR,High,10.08,8.66,17.92
Oman,1296.1,5833,707.9,3186,54.6,2021,Urinary tract,Escherichia coli,3GCs,OMN,EMR,High,4.37028217,3.81048203,10.53943253
Pakistan,167.9,40204,166.6,39892,99.2,2021,Urinary tract,Escherichia coli,3GCs,PAK,EMR,Lower-middle,2.9113156800000004,0.84496921,4.57438993
Peru,196.3,6508,196.1,6501,99.9,2021,Urinary tract,Escherichia coli,3GCs,PER,AMR,Upper-middle,6.151731970000001,3.9896729,16.942422869999998
Philippines,34.2,3871,33.7,3814,98.5,2021,Urinary tract,Escherichia coli,3GCs,PHL,WPR,Lower-middle,5.87,2.31,8.46
Qatar,2246.2,6323,2245.5,6321,100.0,2021,Urinary tract,Escherichia coli,3GCs,QAT,EMR,High,2.89366841,2.46038246,8.389737129999997
Republic of Korea,152.4,7901,152.4,7901,100.0,2021,Urinary tract,Escherichia coli,3GCs,KOR,WPR,High,9.331455230000001,5.692255020000001,14.82539463
Republic of Moldova,435.9,1318,434.9,1315,99.8,2021,Urinary tract,Escherichia coli,3GCs,MDA,EUR,Upper-middle,7.75,5.06,14.62
Saudi Arabia,57.0,1787,56.9,1783,99.8,2021,Urinary tract,Escherichia coli,3GCs,SAU,EMR,High,5.968369009999999,4.594673160000001,14.40493202
Singapore,1123.6,6232,1122.2,6224,99.9,2021,Urinary tract,Escherichia coli,3GCs,SGP,WPR,High,5.565251829999999,3.50580597,20.812007899999998
Somalia,4.1,70,3.5,61,87.1,2021,Urinary tract,Escherichia coli,3GCs,,,,,,
Sri Lanka,76.3,1733,58.0,1317,76.0,2021,Urinary tract,Escherichia coli,3GCs,LKA,SEAR,Lower-middle,4.07,1.89,9.49
Sudan,2.7,131,2.6,124,94.7,2021,Urinary tract,Escherichia coli,3GCs,SDN,EMR,Low,2.8363385200000004,0.7671915300000001,7.861412049999998
Sweden,21005.5,218796,5005.1,52134,23.8,2021,Urinary tract,Escherichia coli,3GCs,SWE,EUR,High,11.25,9.66,19.55
Syrian Arab Republic,6.8,146,5.9,128,87.7,2021,Urinary tract,Escherichia coli,3GCs,SYR,EMR,Low,,,
Thailand,106.2,7617,96.1,6896,90.5,2021,Urinary tract,Escherichia coli,3GCs,THA,SEAR,Upper-middle,5.1603875200000004,3.6309559300000003,13.46591473
Timor-Leste,48.1,65,45.2,61,93.8,2021,Urinary tract,Escherichia coli,3GCs,TLS,SEAR,Lower-middle,11.43839264,7.256893159999997,6.970731259999999
Trinidad and Tobago,168.0,250,168.0,250,100.0,2021,Urinary tract,Escherichia coli,3GCs,TTO,AMR,High,7.0194725999999985,3.3227786999999998,11.072915079999998
Tunisia,331.1,3989,320.6,3863,96.8,2021,Urinary tract,Escherichia coli,3GCs,TUN,EMR,Lower-middle,6.972739220000001,4.12733793,12.39702702
Uganda,5.1,232,4.9,227,97.8,2021,Urinary tract,Escherichia coli,3GCs,UGA,AFR,Low,4.671967029999999,1.05270064,4.88157225
United Arab Emirates,3811.8,37314,3688.2,36104,96.8,2021,Urinary tract,Escherichia coli,3GCs,ARE,EMR,High,5.30695152,3.402116779999999,12.8867445
United Kingdom of Great Britain and Northern Ireland,9911.6,670708,3753.0,253961,37.9,2021,Urinary tract,Escherichia coli,3GCs,GBR,EUR,High,12.36469936,10.34801674,22.364862440000003
United Republic of Tanzania,17.1,1074,16.3,1024,95.3,2021,Urinary tract,Escherichia coli,3GCs,TZA,AFR,Lower-middle,3.3613648400000002,0.9136287599999999,5.135169979999999
Zambia,36.9,723,13.9,272,37.6,2021,Urinary tract,Escherichia coli,3GCs,ZMB,AFR,Low,6.624164579999999,2.8165416700000003,9.254849429999998
"occupied Palestinian territory, including east Jerusalem",927.0,4807,833.7,4323,89.9,2021,Urinary tract,Escherichia coli,3GCs,,,,,,
Argentina,54.8,2466,26.9,1208,49.0,2019,Gastrointestinal,Shigella spp.,3GCs,ARG,AMR,Upper-middle,10.04194355,6.082253929999999,16.132158280000006
Bahrain,26.3,39,26.3,39,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,BHR,EMR,High,3.9598033399999997,2.30751538,7.06051159
Bangladesh,0.0,8,0.0,8,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,BGD,SEAR,Lower-middle,2.2576224799999998,0.4467977899999999,3.29686975
Brazil,0.0,2,0.0,2,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,BRA,AMR,Upper-middle,9.61449146,3.917018889999999,9.235238079999998
Croatia,5.0,20,5.0,20,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,HRV,EUR,High,6.8,5.55,11.98
Germany,0.9,76,0.8,66,86.8,2019,Gastrointestinal,Shigella spp.,3GCs,DEU,EUR,High,11.71550655,9.04012394,20.093276980000002
Indonesia,0.0,3,0.0,3,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,IDN,SEAR,Lower-middle,2.8786289700000003,1.39791656,8.557231900000001
Iran (Islamic Republic of),0.1,11,0.1,9,81.8,2019,Gastrointestinal,Shigella spp.,3GCs,IRN,EMR,Lower-middle,6.273988720000001,2.7899677800000005,19.73072052
Iraq,0.0,1,0.0,1,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,IRQ,EMR,Upper-middle,4.255094049999999,2.10075927,5.994596
Japan,0.7,91,0.7,91,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,JPN,WPR,High,10.97,9.21,24.7
Lao People's Democratic Republic,0.4,3,0.4,3,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,LAO,WPR,Lower-middle,2.6031222300000003,0.9614232800000002,5.12380648
Lebanon,0.5,3,0.5,3,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,LBN,EMR,Lower-middle,8.6936779,4.285372259999999,13.746777530000003
Madagascar,0.5,15,0.5,15,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,MDG,AFR,Low,3.1012930900000004,0.6826895500000001,4.44415092
Malawi,1.7,33,1.7,33,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,MWI,AFR,Low,7.15010023,1.67412877,8.66773891
Malaysia,0.3,10,0.3,9,90.0,2019,Gastrointestinal,Shigella spp.,3GCs,MYS,WPR,Upper-middle,3.83991051,2.00959897,8.523682590000002
Malta,7.9,4,7.9,4,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,MLT,EUR,High,9.15,5.72,15.91
Nepal,1.2,33,0.8,24,72.7,2019,Gastrointestinal,Shigella spp.,3GCs,NPL,SEAR,Lower-middle,4.45,1.1,4.03
Norway,20.2,108,20.2,108,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,NOR,EUR,High,10.44,8.95,17.52
Oman,25.9,119,23.7,109,91.6,2019,Gastrointestinal,Shigella spp.,3GCs,OMN,EMR,High,3.80648994,3.3325254899999996,8.593752859999999
Pakistan,0.3,74,0.3,74,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,PAK,EMR,Lower-middle,2.8473694299999996,0.9430124800000002,4.94922209
Philippines,0.3,33,0.3,32,97.0,2019,Gastrointestinal,Shigella spp.,3GCs,PHL,WPR,Lower-middle,4.17,1.69,7.8
Saudi Arabia,0.4,11,0.4,11,100.0,2019,Gastrointestinal,Shigella spp.,3GCs,SAU,EMR,High,5.467426779999999,4.03419256,11.97922897
Singapore,1.2,7,0.9,5,71.4,2019,Gastrointestinal,Shigella spp.,3GCs,SGP,WPR,High,4.39938164,2.2749128300000003,16.248302459999998
South Africa,10.9,650,10.5,626,96.3,2019,Gastrointestinal,Shigella spp.,3GCs,ZAF,AFR,Upper-middle,8.244189259999999,4.80993271,15.28983974
Sri Lanka,1.1,25,0.2,5,20.0,2019,Gastrointestinal,Shigella spp.,3GCs,LKA,SEAR,Lower-middle,3.9,1.85,9.49
